X	Y	FID	Facility_N	F_NAME	HMIS	Province	District	Division	LOCATION	Sub_Locati	Spatial_Re	Facility_T	Agency	Latitude	Longitude	GlobalID
40.830624	-2.226905	18	19	MOKOWE HEALTH CENTRE	628	COAST	LAMU	HINDI	MOKOWE	KILIMANI	DDP	3	MOH	-2.226905	40.830624	{B978B0A0-6409-4EEA-A815-B571BBC642E5}
40.6976	-2.38934	19	20	MPEKETONI HEALTH CENTRE	629	COAST	LAMU	MPEKETONI	MPEKETONI	CENTRAL(LAMU)	1:50000 MAPS	3	MOH	-2.38934	40.6976	{83C5BE0A-541D-4F73-BD0D-53C9901DE2FF}
40.860674	-2.234325	20	21	MUKOWE HOSPITAL	0	COAST	LAMU	HINDI	MOKOWE	MOKOWE	HD MAPS	1	MOH	-2.234325	40.860674	{3360C7CC-746A-4020-8AD5-97FA0D1761EA}
40.780399	-2.01823	21	22	N.Y.S DISP (BARGONI)	614	COAST	LAMU	HINDI	HINDI MAGOGONI	BARGONI	DANIDA	4	MOH	-2.01823	40.780399	{7AFAD8EE-D1B5-4271-B2D7-E42FFF7D309B}
41.209608	-2.011428	22	23	NDAU DISP	621	COAST	LAMU	KIZINGITINI	NDAU	NDAU	DANIDA	4	MOH	-2.011428	41.209608	{14F24923-9283-444A-A193-95CE83BDF612}
40.481233	-2.203467	23	24	PANDA NGUO DISP	3787	COAST	LAMU	WITU	WITU	PANDANGUO	SUBLOC CENTROID	4	MOH	-2.203467	40.481233	{05BEF628-0949-4A50-AFD3-A9B6B762918B}
41.011852	-2.119562	24	25	PATTE DISP	622	COAST	LAMU	FAZA	PATTE	PATTE	DISTRICT ESTIMATES	4	MOH	-2.119562	41.011852	{8DE9E695-9818-4B94-9BF4-9F66BCDB3CBB}
40.949199	-2.277881	25	27	SHELLA DISP	623	COAST	LAMU	AMU	SHELLA MANDA	MANDA(LAMU)	DISTRICT ESTIMATES	4	MOH	-2.277881	40.949199	{FFAE1B7E-26B5-40D9-8655-59C8C114B3BF}
41.08097	-2.109339	26	28	SIYU DISP	624	COAST	LAMU	FAZA	SIYU	SIYU	DISTRICT ESTIMATES	4	MOH	-2.109339	41.08097	{F4E7AD2B-EF40-4AD4-A81C-6C2F64931847}
40.435958	-2.39067	27	29	WITU HEALTH CENTRE	630	COAST	LAMU	WITU	WITU	WITU	DDP	3	MOH	-2.39067	40.435958	{AC09A430-2997-4A06-AEF5-C3DDB2D4A2C3}
39.477797	-3.065975	28	36	ADC GALANA RANCH DISP	3301	COAST	MALINDI	MALINDI	CHAKAMA	KISIKI CHA WANGIRIAM	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-3.065975	39.477797	{0DA39336-48DB-4315-A760-A1F4FA0DCE97}
39.979912	-2.8398	29	1	ADU DISP	512	COAST	MALINDI	MARAFA	ADU	ADU	DANIDA	4	MOH	-2.8398	39.979912	{450C3800-B195-41D4-96B1-2C75F6497034}
39.791723	-3.247002	30	2	AIC MALANGA DISP	4657	COAST	MALINDI	MALINDI	LANGOBAYA	MALANGA(MALINDI)	AMKENI	4	MISS	-3.247002	39.791723	{9AA5A823-BAE1-4DDD-870D-7055E4E6930C}
39.784611	-3.10371	31	3	BARICHO DISP	516	COAST	MALINDI	MARAFA	BUNGALE	BARICHO(MALINDI)	DANIDA	4	MOH	-3.10371	39.784611	{87F43D66-AC94-4601-B26C-C4A5ED94B508}
39.633499	-3.122	32	4	CHAKAMA DISP	518	COAST	MALINDI	MALINDI	CHAKAMA	MAKONGENI(MALINDI)	DANIDA	4	MOH	-3.122	39.633499	{7A370EAC-A916-4D55-BF84-2DA724D103CE}
39.936409	-3.18239	33	5	DAGAMRA DISP	521	COAST	MALINDI	MARAFA	DAGAMRA	BATE	DANIDA	4	MOH	-3.18239	39.936409	{2D11BB76-B2A7-4951-918F-8A4C85534C7E}
40.093725	-2.917646	34	0	FUNDISA DISP	2937	COAST	MALINDI	MAGARINI	FUNDISA	FUNDISA	DHMT	4	MOH	-2.917646	40.093725	{EC4647DF-ED44-421E-A2F2-D070C26EE6EE}
40.116335	-3.197483	35	6	GALANA HOSPITAL	564	COAST	MALINDI	MALINDI	MALINDI	SABAKI	AMKENI	1	MISS	-3.197483	40.116335	{7CF5A758-8C00-4304-9F2D-1AA70E54E6F4}
39.891178	-3.13094	36	7	GARASHI DISP	526	COAST	MALINDI	MARAFA	GARASHI	MIKUYUNI(MALINDI)	DANIDA	4	MOH	-3.13094	39.891178	{914D817C-097D-4F8A-913D-4C7D1F9AFE44}
40.050652	-3.284649	37	8	GEDE DISP	527	COAST	MALINDI	MALINDI	WATAMU	CHEMBE KIBABA MUCHE	DANIDA	4	MOH	-3.284649	40.050652	{1CB89A4D-C66B-4315-A9D5-3C6E0B179A86}
40.133381	-3.03614	38	9	GONGONI DISP	530	COAST	MALINDI	MAGARINI	GONGONI	GONGONI	DANIDA	4	MOH	-3.03614	40.133381	{FFBC3AF4-0BB6-4C92-BD1A-874F701F4B63}
39.905842	-3.18922	39	10	JILORE HEALTH CENTRE	533	COAST	MALINDI	MALINDI	JILORE	JILORE/ZIAN	DANIDA	3	MOH	-3.18922	39.905842	{7C470610-AD3B-481F-94DE-0F14FBDDF76E}
39.86591	-3.16443	40	11	KAKONENI DISP	535	COAST	MALINDI	MALINDI	JILORE	KAKONENI	DANIDA	4	MOH	-3.16443	39.86591	{F1D352AD-86FD-48C4-8F0D-4550A4CFDF28}
40.001911	-3.22065	41	12	KAKUYUNI DISP	536	COAST	MALINDI	MALINDI	GOSHI	KAKUYUNI(MALINDI)	DANIDA	4	MOH	-3.22065	40.001911	{AFFDD16C-3936-4663-B515-E69D5E73AC37}
39.792298	-3.257113	42	14	MALANGA SDA DISPENSARY	0	COAST	MALINDI	MALINDI	LANGOBAYA	MALANGA(MALINDI)	AMKENI	4	MISS	-3.257113	39.792298	{85C68FEE-C10A-45E8-9645-321D155429A6}
40.1182	-3.2165	43	15	MALINDI DISTRICT HOSPITAL	566	COAST	MALINDI	MALINDI	MALINDI	BARANI	KEMRI-KILIFI PROJECT	1	MOH	-3.2165	40.1182	{E8D9C1DF-8423-4E15-B7EC-31EE30EB8A28}
40.136879	-3.11815	44	16	MAMBRUI DISP	542	COAST	MALINDI	MAGARINI	MAGARINI	MAMBRUI	DANIDA	4	MOH	-3.11815	40.136879	{8E887FE0-A1FC-4930-8B9B-BF0426AD96AD}
39.959728	-3.02833	45	17	MARAFA HEALTH CENTRE (MAGARINI)	561	COAST	MALINDI	MARAFA	MARAFA	MADINA	DANIDA	3	MOH	-3.02833	39.959728	{7F36B696-9BC6-4631-9E1A-FAA117378E12}
40.144611	-2.863	46	18	MARERENI DISP	3765	COAST	MALINDI	MAGARINI	FUNDISA	MARERENI	DANIDA	4	MOH	-2.863	40.144611	{5FAA757D-CEE3-4C52-B7AC-0DAD8D20AF56}
40.112049	-3.09027	47	19	MARIKEBUNI DISP	543	COAST	MALINDI	MAGARINI	MAGARINI	MARIKEBUNI	DANIDA	4	MOH	-3.09027	40.112049	{9DD96781-6B6F-4034-8A27-F1DD253EFF12}
40.031232	-3.195264	48	20	MERE SDA DISP	0	COAST	MALINDI	MALINDI	GOSHI	MALIMO	AMKENI	4	MISS	-3.195264	40.031232	{A23BC3BB-7127-4460-ADC4-283719675FD2}
40.037835	-2.702209	49	21	MIDZIJINI DISP	3766	COAST	MALINDI	MARAFA	ADU	RAMADA	SUBLOC CENTROID	4	MISS	-2.702209	40.037835	{55247AFC-34E9-41FA-8201-E3FBEC206CF5}
40.114903	-3.232732	50	22	MUNICIPAL HEALTH CENTRE	4350	COAST	MALINDI	MALINDI	MALINDI	SHELLA(MALINDI)	AMKENI	3	LA	-3.232732	40.114903	{EBC5CB2A-40E5-45AF-A219-1252AD64FD83}
40.140365	-2.963256	51	0	NEEMA MEDICAL DISP	0	COAST	MALINDI	MAGARINI	FUNDISA	FUNDISA	DHMT	4	MISS	-2.963256	40.140365	{F82DA1FC-CB26-4E48-BE00-EF684178A2C4}
40.18	-3.01	52	23	NGOMENI DISP	549	COAST	MALINDI	MAGARINI	GONGONI	NGOMENI	DANIDA	4	MOH	-3.01	40.18	{6CFAB590-BA99-4382-A47F-574B42FF36D9}
39.822899	-3.02801	53	25	SOSONI DISP	553	COAST	MALINDI	MARAFA	BUNGALE	DAKACHA	DANIDA	4	MOH	-3.02801	39.822899	{B155880C-2004-490F-A4D2-7D602E10E3DD}
40.112698	-3.220937	54	26	TAWFIQ MUSLIM HOSPITAL	2940	COAST	MALINDI	MALINDI	MALINDI	SHELLA(MALINDI)	AMKENI	1	MISS	-3.220937	40.112698	{7BAC8645-8196-49E5-8503-2AD375801186}
40.114882	-3.216853	55	27	TAWHEED MUSLIM DISP	0	COAST	MALINDI	MALINDI	MALINDI	BARANI	AMKENI	4	MISS	-3.216853	40.114882	{4B83E683-6A77-4494-B388-FACC01A2F4CF}
40.01693	-3.35175	56	28	WATAMU SDA DISP	2917	COAST	MALINDI	MALINDI	WATAMU	WATAMU	PSI	4	MISS	-3.35175	40.01693	{A95E9FB9-3060-4A89-9905-354A86C55400}
39.663987	-4.041251	57	1	ALMS HOUSE DISP	643	COAST	MOMBASA	ISLAND	TONONOKA	TONONOKA	DSA/DFH(MOH)-UNFPA REPORT	4	LA	-4.041251	39.663987	{CF968F62-467B-4C65-B054-92081E50B867}
39.714984	-4.005339	58	3	ANNEXE DISP	4517	COAST	MOMBASA	KISAUNI	KISAUNI	KISAUNI	DSA/DFH(MOH)-UNFPA REPORT	4	MOH	-4.005339	39.714984	{766D4FF2-33DA-4825-B94B-E79BB127AA9E}
39.707035	-3.973318	59	5	BAMBURI DISP	644	COAST	MOMBASA	KISAUNI	BAMBURI	BAMBURI	SUBLOC CENTROID	4	LA	-3.973318	39.707035	{1538C815-F889-4E62-A279-EE81FC80D81E}
39.61943	-4.016913	60	6	CHAANI DISP	645	COAST	MOMBASA	CHANGAMWE	CHANGAMWE	CHANGAMWE	SUBLOC CENTROID	4	LA	-4.016913	39.61943	{37536DC3-A316-4F66-9D0A-55CA3E542323}
39.677362	-4.059355	61	7	COAST PROVINCIAL GENERAL HOSP.	696	COAST	MOMBASA	ISLAND	OLD TOWN	OLD T.(MAKADARA WARD	HD MAPS	2	MOH	-4.059355	39.677362	{A77C7109-7A57-495F-A373-C3F1ECD1298A}
39.644637	-4.100958	62	8	CRESCENT MEDICAL AID DISP	3303	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	AMKENI	4	MISS	-4.100958	39.644637	{7DC40BE0-F6F3-4604-8A19-1C4E77E2A19F}
39.665141	-4.056412	63	11	ELIZA MEDICAL RENT DISP	4530	COAST	MOMBASA	ISLAND	MAJENGO	MWEMBE TAYARI	ILRI MKT CENTRES	4	MISS	-4.056412	39.665141	{ABD81D1F-A386-41C7-B78B-F706BB3349B1}
39.658767	-4.065307	64	12	GANJONI (CDC) DISP	648	COAST	MOMBASA	ISLAND	GANJONI	GANJONI	SUBLOC CENTROID	4	LA	-4.065307	39.658767	{2F359614-888D-4428-951D-AFB920B088CC}
39.680918	-4.064671	65	13	HOLY GHOST CATHEDRAL DISP	3307	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-4.064671	39.680918	{231E5BA5-CF79-452F-9FEA-0A5A49A1836A}
39.598962	-3.987726	66	17	JOMVU KUU HEALTH CENTRE	685	COAST	MOMBASA	CHANGAMWE	MIRITINI	JOMVU KUU	DSA/DFH(MOH)-UNFPA REPORT	3	LA	-3.987726	39.598962	{9F9F5333-AC04-4CFC-BED4-F284FD8F28EE}
39.596276	-3.990976	67	18	JOMVU REFUGEE CAMP	0	COAST	MOMBASA	CHANGAMWE	MIRITINI	JOMVU KUU	DSA/DFH(MOH)-UNFPA REPORT	4	NGO	-3.990976	39.596276	{69B24A97-C116-4A7C-9598-95B6E83A89FA}
39.65	-4.08	68	19	KILINDINI PORT DISP	651	COAST	MOMBASA	LIKONI	LIKONI	BOFU(MOMBASA)	ILRI VILLAGES	4	MOH	-4.08	39.65	{E50F5E9D-EA07-4C1A-9DFC-96D230E14BD2}
39.692579	-4.030596	69	20	KISAUNI DISP	653	COAST	MOMBASA	KISAUNI	KONGOWEA	MAWENI	ILRI MKT CENTRES	4	MOH	-4.030596	39.692579	{1F5BC991-9FAC-4E5E-95FF-76DAE1C1489A}
39.684077	-4.041348	70	21	KONGOWEA HEALTH CENTRE	683	COAST	MOMBASA	KISAUNI	KONGOWEA	KONGOWEA	AMKENI	3	MOH	-4.041348	39.684077	{97D0D67F-A9E8-4206-891A-8B2D4BFA61A7}
39.68	-4.039701	71	22	KONGOWEA MED DISP	4523	COAST	MOMBASA	KISAUNI	KONGOWEA	KONGOWEA	ILRI MKT CENTRES	4	MISS	-4.039701	39.68	{ED2A3CF2-1D7A-4E60-9B04-9BAA8422A212}
39.6	-4.04	72	23	KWA JOMVU HEALTH CENTRE	684	COAST	MOMBASA	CHANGAMWE	PORT REITZ	PORT REITZ	ILRI VILLAGES	3	LA	-4.04	39.6	{54D1D2C1-8B78-4AEF-9CCA-D36FFD1CB1A1}
39.655484	-4.085214	73	24	LIKONI HEALTH CENTRE	687	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	AMKENI	3	MOH	-4.085214	39.655484	{EDEE98AE-5CC1-4444-98DB-F5F22AD8F9AA}
39.644641	-4.111836	74	25	LIKONI MISSION DISP	655	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-4.111836	39.644641	{5BD4798A-86C4-4183-91B9-E31E7C089BBF}
39.63	-4.0352	75	27	MAGONGO HEALTH CENTRE	688	COAST	MOMBASA	CHANGAMWE	KIPEVU	KIPEVU	ILRI VILLAGES	3	LA	-4.0352	39.63	{43CE65C2-C812-4D36-A108-F7D4BC689B95}
39.66667	-4.031532	76	28	MAJENGO DISP	689	COAST	MOMBASA	ISLAND	TUDOR	TUDOR FOUR	1:50000 MAPS	4	LA	-4.031532	39.66667	{C4429B08-296D-4262-8B10-6E5EA6BAB58F}
39.663509	-4.058393	77	29	MAJENGO MCH/FP CLINIC	0	COAST	MOMBASA	ISLAND	MAJENGO	MAJENGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	4	NGO	-4.058393	39.663509	{6C99EC84-C1EA-4BAA-B8C9-6402A62B134E}
39.655225	-4.03153	78	30	MAKUPA HEALTH CENTRE	690	COAST	MOMBASA	ISLAND	TUDOR	TUDOR	1:50000 MAPS	3	LA	-4.03153	39.655225	{FA689A33-0A2E-415A-9956-D85DA1C8C348}
39.660636	-4.045181	79	31	MAKUPA MCH/FP CLINIC	0	COAST	MOMBASA	ISLAND	MAJENGO	MAJENGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	4	NGO	-4.045181	39.660636	{8992910B-733F-4855-BC96-28709B57E3AA}
39.648458	-4.029325	80	35	MIKINDANI MISSION DISP	660	COAST	MOMBASA	CHANGAMWE	MIKINDANI	BIRIKANI	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-4.029325	39.648458	{1789C75C-97E8-4963-A270-A709A7DCA9B2}
39.58529	-4.010761	81	36	MIRITINI DISP	4508	COAST	MOMBASA	CHANGAMWE	MIRITINI	MIRITINI	SUBLOC CENTROID	4	LA	-4.010761	39.58529	{0C9FD39C-6CB2-4B75-B50C-F809730B3148}
39.674068	-4.063657	82	37	MKOMANI HARAMBEE DISP	661	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	4	NGO	-4.063657	39.674068	{F3D793E5-D3A3-401A-A2B8-AAA9EC47CD4B}
39.651523	-4.045337	83	39	MOW SHIMANZI DISP	656	COAST	MOMBASA	ISLAND	RAILWAY	SHIMANZI	SUBLOC CENTROID	4	LA	-4.045337	39.651523	{017EE840-DED3-4714-8013-DE78F10EE946}
39.641934	-4.068683	84	40	MTONGWE DISP	3959	COAST	MOMBASA	LIKONI	MTONGWE	MTONGWE	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-4.068683	39.641934	{1DA47115-EA20-4B47-9E25-82AA1CD82E93}
39.639063	-4.081243	85	41	MTONGWE HEALTH CENTRE	692	COAST	MOMBASA	LIKONI	MTONGWE	MTONGWE	AMKENI	3	MOH	-4.081243	39.639063	{B1EE0092-FEFB-4452-80DB-4DD4F6694E70}
39.67	-4.05	86	44	MVITA DISP (MOMBASA)	638	COAST	MOMBASA	ISLAND	TONONOKA	BONDENI(MOMBASA)	ILRI VILLAGES	4	LA	-4.05	39.67	{675556D0-3A59-4229-937A-5B132A468FEE}
39.685962	-3.960939	87	45	MWAKIRUGE DISP	663	COAST	MOMBASA	KISAUNI	BAMBURI	MWAKIRUNGE	DSA/DFH(MOH)-UNFPA REPORT	4	LA	-3.960939	39.685962	{87DE3701-1DCB-47A0-9FA2-36F67193CBFB}
39.672694	-4.064651	88	46	MWEMBE TAYARI SUB HEALTH CENTRE	664	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	DDP	3	LA	-4.064651	39.672694	{00A5AD5C-C7EC-4B73-944F-07EEFEE6ACF6}
39.67	-4.06	89	47	NGOMEN DISP	2370	COAST	MOMBASA	ISLAND	MAJENGO	MWEMBE TAYARI	ILRI VILLAGES	4	MOH	-4.06	39.67	{26DCA1B9-DE61-4964-A7E4-FE8A09CE9B40}
39.674455	-4.05783	90	48	OLD TOWN KADER BHOY DISP	667	COAST	MOMBASA	ISLAND	OLD TOWN	OLD T.(MAKADARA WARD	SUBLOC CENTROID	4	LA	-4.05783	39.674455	{0AC48929-525F-4157-936F-B8F09A20E1E9}
39.602867	-4.039267	91	49	PORT REITZ DISTRICT HOSPITAL	700	COAST	MOMBASA	CHANGAMWE	PORT REITZ	PORT REITZ	AMKENI	1	MOH	-4.039267	39.602867	{AD0C070F-3F2B-4412-8641-286728D9CB1F}
39.743165	-3.976707	92	52	SHANZU HADIEK COLLEGE DISP	672	COAST	MOMBASA	KISAUNI	BAMBURI	SHANZU	SUBLOC CENTROID	4	LA	-3.976707	39.743165	{4C280301-4A76-4B63-B013-CAD620EAD655}
39.637669	-4.11276	93	53	SHIKA ADABU DISP	674	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	AMKENI	4	MOH	-4.11276	39.637669	{BC53868A-3EFF-4CD5-B786-CA13EA4F6FF3}
39.742418	-3.956292	94	54	SHIMO LA TEWA DISP	675	COAST	MOMBASA	KISAUNI	BAMBURI	SHANZU	DDP	4	MOH	-3.956292	39.742418	{9CF98567-FB6F-49BF-BF2A-4A0536C800CB}
39.667547	-4.071958	95	55	STATE HOUSE DISP	676	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	4	MOH	-4.071958	39.667547	{82162EE7-E5A9-4307-A518-30993D70CC67}
39.65792	-4.117456	96	56	STELLA MARIE DISP	677	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	DSA/DFH(MOH)-UNFPA REPORT	4	MISS	-4.117456	39.65792	{2ECC51AC-CB2A-4FEE-822B-9510FA809031}
39.657845	-4.094899	97	57	TIMBWANI CONSOLATA SISTERS DISPENSARY	3956	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	SUBLOC CENTROID	4	MISS	-4.094899	39.657845	{DB10556E-8EB7-4383-83D3-E11C227D12D6}
39.661421	-4.029273	98	58	TUDOR HEALTH CENTRE	678	COAST	MOMBASA	ISLAND	TUDOR	TUDOR	DDP	3	MOH	-4.029273	39.661421	{AF08335E-1CAA-448F-BE67-09A3B0E45042}
39.68143	-4.068035	99	59	UKUMBUSHO CPK HOSP	702	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	DSA/DFH(MOH)-UNFPA REPORT	1	MISS	-4.068035	39.68143	{B610E962-7F9B-4A54-9898-350765C9EC7D}
39.72	-3.97	100	60	UTANGE DISP	679	COAST	MOMBASA	KISAUNI	BAMBURI	MWEMBE LEGEZA	ILRI VILLAGES	4	LA	-3.97	39.72	{33B0B171-5F6F-4CA1-A6D3-998DCE291945}
36.84009	-1.137387	101	1	ANMER DISP	190	CENTRAL	KIAMBU	KIAMBAA	KAMITI	ANMER	1:50000 MAPS	4	MOH	-1.137387	36.84009	{CA8FB86C-0E17-4B41-9019-5C22F41199B4}
36.6347	-0.978523	102	2	BATHI DISP	192	CENTRAL	KIAMBU	LARI	KIJABE	BATHI	DDP	4	MISS	-0.978523	36.6347	{0F043367-AB11-4F55-897F-07609EB61A9F}
36.6171	-1.08108	103	3	BIBIRIONI DISP	3731	CENTRAL	KIAMBU	LIMURU	LIMURU	BIBIRIONI	1:50000 MAPS	4	MISS	-1.08108	36.6171	{67985EC6-C765-4B55-B15D-AE850C18D4A3}
36.6896	-1.21635	104	4	CHURA DISP	0	CENTRAL	KIAMBU	KIKUYU	KABETE	CHURA	1:50000 MAPS	4	MOH	-1.21635	36.6896	{2CE63C72-F7C9-479A-80D7-C5D686EFF30B}
36.7613	-1.1328	105	5	CIANDA DISP	193	CENTRAL	KIAMBU	KIAMBAA	CIANDA	CIANDA	1:50000 MAPS	4	MOH	-1.1328	36.7613	{403100AC-DD1D-433D-9F14-0C2FBF73E3A4}
36.7044	-0.991187	106	6	GACHOIRE DISP	0	CENTRAL	KIAMBU	LARI	NYANDUMA	GACHOIRE	DDP	4	MOH	-0.991187	36.7044	{DC3D958C-7151-4FD1-87D8-32BBDF35E5C2}
36.791234	-1.182312	107	7	GATHANGA DISP	931	CENTRAL	KIAMBU	KIAMBAA	WAGUTHU	GATHANGA	1:50000 MAPS	4	MOH	-1.182312	36.791234	{FAFF94F9-3EBE-42C4-A99D-AA46ADC30169}
36.7054	-1.06802	108	8	GATHANGARI DISP	0	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	GITIHA	1:50000 MAPS	4	MOH	-1.06802	36.7054	{D8D70B02-B4D6-4C98-A836-F28647EB4A41}
36.8279	-1.09883	109	9	GIATHIEKO DISP	0	CENTRAL	KIAMBU	GITHUNGURI	IKINU	RIUKI	DDP	4	MOH	-1.09883	36.8279	{3DC7BF1F-C0F1-462D-9173-17D3F2748B7E}
36.65	-1.27	110	10	GICHARANI DISP	3638	CENTRAL	KIAMBU	KIKUYU	KARAI	GIKAMBURA	ILRI VILLAGES	4	MISS	-1.27	36.65	{2B0D89C5-FC24-4016-9E60-E1B8D0465D14}
36.6689	-1.16126	111	11	GICHURU DISP	198	CENTRAL	KIAMBU	LIMURU	NGECHA	NGECHA	1:50000 MAPS	4	MOH	-1.16126	36.6689	{40DCD8AB-DA22-4E67-B4C3-A15EA29CFBC8}
36.7462	-1.083	112	12	GITHIGA HEALTH CENTRE	2401	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	MATUGUTA	DDP	3	MOH	-1.083	36.7462	{BA9BA8A2-C085-4E21-AD14-00DDAAE87E94}
36.788	-1.05339	113	13	GITHUNGURI HEALTH CENTRE	233	CENTRAL	KIAMBU	GITHUNGURI	GITHUNGURI	KANJAI	DDP	3	MOH	-1.05339	36.788	{5861566C-E683-4A55-B994-F462F2322DD6}
36.6896	-1.0742	114	14	GITIHA HEALTH CENTRE	2398	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	GITIHA	1:50000 MAPS	3	MOH	-1.0742	36.6896	{EA0EB5C0-0D0B-4838-8E25-D314D46DC07D}
